2026-05-13 17:13:33 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:00:16 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:00:16 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:00:58 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:00:58 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:01 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:01 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:01 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:02 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:02 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:02 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:02 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:02 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:03 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:09 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:11 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:16 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:19 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 19:11:21 | INFO     | app.services.template_manager | Retrieved 1 templates from database
2026-05-13 19:11:31 | INFO     | app.services.template_manager | Template retrieved from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
2026-05-13 19:12:36 | INFO     | app.services.template_manager | Template soft deleted from database: 5f658c76-5221-48bb-bd46-5d91ba9ad019
